old_tag,new_tag,action,notes
Drunkenness (intoxication),Drunkenness (intoxication),hierarchy,parent=Physical and health conditions
Materials,Materials,hierarchy,parent=(new top-level facet)
Consumable materials,Consumable materials,hierarchy,parent=Materials
Alcoholic beverages,Alcoholic beverages,hierarchy,parent=Consumable materials
Beer,Beer,hierarchy,parent=Alcoholic beverages
Wine,Wine,hierarchy,parent=Alcoholic beverages
Spirits,Spirits,hierarchy,parent=Alcoholic beverages
Whisky,Whisky,hierarchy,parent=Spirits
Whiskey,Whisky,synonym,Alternative spelling of whisky (both spellings valid)
Rum,Rum,hierarchy,parent=Spirits
Brandy,Brandy,hierarchy,parent=Spirits
Gin,Gin,hierarchy,parent=Spirits
Mixed alcoholic beverages,Mixed alcoholic beverages,hierarchy,parent=Alcoholic beverages
Grog,Grog,hierarchy,parent=Mixed alcoholic beverages
Health & Medicine,Health & Medicine,hierarchy,parent=(thematic grouping)
Medical professionals,Medical professionals,hierarchy,parent=Health & Medicine - THEMATIC
Health conditions,Health conditions,hierarchy,parent=Health & Medicine - THEMATIC
Illness,Illness,hierarchy,parent=Health conditions - THEMATIC
Disease,Disease,hierarchy,parent=Health conditions - THEMATIC
Injury,Injury,hierarchy,parent=Health conditions - THEMATIC
Death,Death,hierarchy,parent=Health conditions - THEMATIC
Health-related events,Health-related events,hierarchy,parent=Health & Medicine - THEMATIC
Accident,Accident,hierarchy,parent=Health-related events - THEMATIC
Mining accidents,Mining accidents,hierarchy,parent=Health-related events - THEMATIC
Education,Education,hierarchy,parent=(thematic grouping)
Educational buildings,Educational buildings,hierarchy,parent=Education - THEMATIC
Sunday school,Sunday school,hierarchy,parent=Education - THEMATIC (religious education)
Religion,Religion,hierarchy,parent=(thematic grouping)
Religious organizations,Religious organizations,hierarchy,parent=Religion - THEMATIC
Religious buildings,Religious buildings,hierarchy,parent=Religion - THEMATIC
Clergy,Clergy,hierarchy,parent=Religion - THEMATIC
Cardinal Moran,Cardinal Moran,hierarchy,parent=Religion - THEMATIC (religious figure)
Justice & Crime,Justice & Crime,hierarchy,parent=(thematic grouping)
Courts,Courts,hierarchy,parent=Justice & Crime - THEMATIC
Court buildings,Court buildings,hierarchy,parent=Justice & Crime - THEMATIC
Legal events,Legal events,hierarchy,parent=Justice & Crime - THEMATIC
Law enforcement,Law enforcement,hierarchy,parent=Justice & Crime - THEMATIC
Police station,Police station,hierarchy,parent=Justice & Crime - THEMATIC
Legal officials,Legal officials,hierarchy,parent=Justice & Crime - THEMATIC
Crimes,Crimes,hierarchy,parent=Justice & Crime - THEMATIC
Violent crimes,Violent crimes,hierarchy,parent=Crimes - THEMATIC
Assault,Assault,hierarchy,parent=Violent crimes - THEMATIC
Fighting,Fighting,hierarchy,parent=Violent crimes - THEMATIC
Rape,Rape,hierarchy,parent=Violent crimes - THEMATIC
Sexual violence,Sexual violence,hierarchy,parent=Violent crimes - THEMATIC
Property crimes,Property crimes,hierarchy,parent=Crimes - THEMATIC
Theft,Theft,hierarchy,parent=Property crimes - THEMATIC
Social order offences,Social order offences,hierarchy,parent=Crimes - THEMATIC
Drunkenness (crime),Drunkenness (crime),hierarchy,parent=Social order offences - THEMATIC
Gambling,Gambling,hierarchy,parent=Social order offences - THEMATIC
Desertion,Desertion,hierarchy,parent=Social order offences - THEMATIC
Other crimes,Other crimes,hierarchy,parent=Crimes - THEMATIC
Bigamy,Bigamy,hierarchy,parent=Other crimes - THEMATIC
Victims of crime & violence,Victims of crime & violence,hierarchy,parent=Justice & Crime - THEMATIC (virtual grouping)
Widows,Widows,hierarchy,parent=Victims of crime & violence - THEMATIC
Legal outcomes,Legal outcomes,hierarchy,parent=Justice & Crime - THEMATIC
Divorce,Divorce,hierarchy,parent=Legal outcomes - THEMATIC
Bankruptcy,Bankruptcy,hierarchy,parent=Legal outcomes - THEMATIC
Mining & Industry,Mining & Industry,hierarchy,parent=(thematic grouping)
Mining companies,Mining companies,hierarchy,parent=Mining & Industry - THEMATIC
Mines & mining districts,Mines & mining districts,hierarchy,parent=Mining & Industry - THEMATIC
Shale mines,Shale mines,hierarchy,parent=Mines & mining districts - THEMATIC
Coal mining,Coal mining,hierarchy,parent=Mines & mining districts - THEMATIC
Mining workforce,Mining workforce,hierarchy,parent=Mining & Industry - THEMATIC
Miners,Miners,hierarchy,parent=Mining workforce - THEMATIC
Miners' families,Miners' families,hierarchy,parent=Mining workforce - THEMATIC
Miners' dwellings,Miners' dwellings,hierarchy,parent=Mining workforce - THEMATIC
Mining activities,Mining activities,hierarchy,parent=Mining & Industry - THEMATIC
Mining,Mining,hierarchy,parent=Mining activities - THEMATIC
Mine closure,Mine closure,hierarchy,parent=Mining activities - THEMATIC
Recreation for miners,Recreation for miners,hierarchy,parent=Mining activities - THEMATIC
Mining infrastructure,Mining infrastructure,hierarchy,parent=Mining & Industry - THEMATIC
Mining settlements,Mining settlements,hierarchy,parent=Mining & Industry - THEMATIC
Middle camp,Middle camp,hierarchy,parent=Mining settlements - THEMATIC
Mining incidents,Mining incidents,hierarchy,parent=Mining & Industry - THEMATIC
Mining accidents,Mining accidents,hierarchy,parent=Mining incidents - THEMATIC
Accident,Accident,hierarchy,parent=Mining incidents - THEMATIC
Alcohol & Temperance,Alcohol & Temperance,hierarchy,parent=(thematic grouping)
Alcohol-related venues,Alcohol-related venues,hierarchy,parent=Alcohol & Temperance - THEMATIC
Hotels,Hotels,hierarchy,parent=Alcohol-related venues - THEMATIC
Public houses,Public houses,hierarchy,parent=Alcohol-related venues - THEMATIC
Temperance organizations & movements,Temperance organizations & movements,hierarchy,parent=Alcohol & Temperance - THEMATIC
Good Templars,Good Templars,hierarchy,parent=Temperance organizations & movements - THEMATIC
Temperance,Temperance,hierarchy,parent=Temperance organizations & movements - THEMATIC
Alcohol consumption & behaviour,Alcohol consumption & behaviour,hierarchy,parent=Alcohol & Temperance - THEMATIC
Alcoholic beverages,Alcoholic beverages,hierarchy,parent=Alcohol consumption & behaviour - THEMATIC
Drinking (alcohol),Drinking (alcohol),hierarchy,parent=Alcohol consumption & behaviour - THEMATIC
Drunkenness (crime),Drunkenness (crime),hierarchy,parent=Alcohol consumption & behaviour - THEMATIC
Drunkenness (intoxication),Drunkenness (intoxication),hierarchy,parent=Alcohol consumption & behaviour - THEMATIC
Licensing & regulation,Licensing & regulation,hierarchy,parent=Alcohol & Temperance - THEMATIC
Licensing,Licensing,hierarchy,parent=Licensing & regulation - THEMATIC
Licensing Act,Licensing Act,hierarchy,parent=Licensing & regulation - THEMATIC
Licensing Court,Licensing Court,hierarchy,parent=Licensing & regulation - THEMATIC
Licensing inspector,Licensing inspector,hierarchy,parent=Licensing & regulation - THEMATIC
Publican's License,Publican's License,hierarchy,parent=Licensing & regulation - THEMATIC
Hospitality workers,Hospitality workers,hierarchy,parent=Alcohol & Temperance - THEMATIC
Sport & Recreation,Sport & Recreation,hierarchy,parent=(thematic grouping)
Sporting events,Sporting events,hierarchy,parent=Sport & Recreation - THEMATIC
Sports clubs,Sports clubs,hierarchy,parent=Sport & Recreation - THEMATIC
Recreation themes,Recreation themes,hierarchy,parent=Sport & Recreation - THEMATIC
Recreation for miners,Recreation for miners,hierarchy,parent=Recreation themes - THEMATIC
Sports,Sports,hierarchy,parent=Recreation themes - THEMATIC
Reserves,Reserves,hierarchy,parent=Recreation themes - THEMATIC (recreational lands)
Arts & Culture,Arts & Culture,hierarchy,parent=(thematic grouping)
Cultural organizations,Cultural organizations,hierarchy,parent=Arts & Culture - THEMATIC
Cultural venues,Cultural venues,hierarchy,parent=Arts & Culture - THEMATIC
Halls,Halls,hierarchy,parent=Cultural venues - THEMATIC
Cultural events,Cultural events,hierarchy,parent=Arts & Culture - THEMATIC
Cultural activities,Cultural activities,hierarchy,parent=Arts & Culture - THEMATIC
Advertising,Advertising,hierarchy,parent=Cultural activities - THEMATIC
Community institutions,Community institutions,hierarchy,parent=(thematic grouping)
Civic organizations,Civic organizations,hierarchy,parent=Community institutions - THEMATIC
Civic buildings,Civic buildings,hierarchy,parent=Community institutions - THEMATIC
Fraternal orders & lodges,Fraternal orders & lodges,hierarchy,parent=Community institutions - THEMATIC
Cultural & recreational organizations,Cultural & recreational organizations,hierarchy,parent=Community institutions - THEMATIC
Community buildings,Community buildings,hierarchy,parent=Community institutions - THEMATIC
Social issues,Social issues,hierarchy,parent=(thematic grouping)
Economic hardship,Economic hardship,hierarchy,parent=Social issues - THEMATIC
Unemployment,Unemployment,hierarchy,parent=Economic hardship - THEMATIC
Unemployment relief,Unemployment relief,hierarchy,parent=Economic hardship - THEMATIC
Charity,Charity,hierarchy,parent=Economic hardship - THEMATIC
Bankruptcy,Bankruptcy,hierarchy,parent=Economic hardship - THEMATIC
Vulnerable populations,Vulnerable populations,hierarchy,parent=Social issues - THEMATIC
Widows,Widows,hierarchy,parent=Vulnerable populations - THEMATIC
Miners' families,Miners' families,hierarchy,parent=Vulnerable populations - THEMATIC
Children,Children,hierarchy,parent=Vulnerable populations - THEMATIC
Victims of crime & violence,Victims of crime & violence,hierarchy,parent=Social issues - THEMATIC (virtual grouping)
Race & Ethnicity,Race & Ethnicity,hierarchy,parent=(thematic grouping)
Marginalised groups,Marginalised groups,hierarchy,parent=Race & Ethnicity - THEMATIC
Indigenous peoples,Indigenous peoples,hierarchy,parent=Marginalised groups - THEMATIC
Aboriginal people,Aboriginal people,hierarchy,parent=Indigenous peoples - THEMATIC
Corroboree,Corroboree,hierarchy,parent=Indigenous peoples - THEMATIC
Aborigines' Protection Board,Aborigines' Protection Board,hierarchy,parent=Indigenous peoples - THEMATIC
Chinese community,Chinese community,hierarchy,parent=Marginalised groups - THEMATIC
Chinese people,Chinese people,hierarchy,parent=Chinese community - THEMATIC
Racial stereotyping & performance,Racial stereotyping & performance,hierarchy,parent=Race & Ethnicity - THEMATIC
Minstrel shows,Minstrel shows,hierarchy,parent=Racial stereotyping & performance - THEMATIC
Katoomba Amateur Minstrels,Katoomba Amateur Minstrels,hierarchy,parent=Minstrel shows - THEMATIC
Cultural identity & heritage,Cultural identity & heritage,hierarchy,parent=Race & Ethnicity - THEMATIC
Reference to the Irish or Irish culture,Reference to the Irish or Irish culture,hierarchy,parent=Cultural identity & heritage - THEMATIC
Women & Gender,Women & Gender,hierarchy,parent=(thematic grouping)
Women as demographic group,Women as demographic group,hierarchy,parent=Women & Gender - THEMATIC
Women,Women,hierarchy,parent=Women as demographic group - THEMATIC
Girls' cricket,Girls' cricket,hierarchy,parent=Women as demographic group - THEMATIC
Gender-related vulnerabilities,Gender-related vulnerabilities,hierarchy,parent=Women & Gender - THEMATIC
Widows,Widows,hierarchy,parent=Gender-related vulnerabilities - THEMATIC
Sexual violence,Sexual violence,hierarchy,parent=Gender-related vulnerabilities - THEMATIC
Rape,Rape,hierarchy,parent=Gender-related vulnerabilities - THEMATIC
Family & Domestic Life,Family & Domestic Life,hierarchy,parent=(thematic grouping)
Families,Families,hierarchy,parent=Family & Domestic Life - THEMATIC (all family tags)
Miners' families,Miners' families,hierarchy,parent=Families - THEMATIC
Family members by demographic,Family members by demographic,hierarchy,parent=Family & Domestic Life - THEMATIC
Women,Women,hierarchy,parent=Family members by demographic - THEMATIC
Men,Men,hierarchy,parent=Family members by demographic - THEMATIC
Children,Children,hierarchy,parent=Family members by demographic - THEMATIC
Widows,Widows,hierarchy,parent=Family members by demographic - THEMATIC
Life events,Life events,hierarchy,parent=Family & Domestic Life - THEMATIC
Domestic accommodation,Domestic accommodation,hierarchy,parent=Family & Domestic Life - THEMATIC
Miners' dwellings,Miners' dwellings,hierarchy,parent=Domestic accommodation - THEMATIC
Boarding houses,Boarding houses,hierarchy,parent=Domestic accommodation - THEMATIC
Hotels,Hotels,hierarchy,parent=Domestic accommodation - THEMATIC (residential aspect)
Economy & Labour,Economy & Labour,hierarchy,parent=(thematic grouping)
Industries,Industries,hierarchy,parent=Economy & Labour - THEMATIC
Mining,Mining,hierarchy,parent=Industries - THEMATIC
Tourism,Tourism,hierarchy,parent=Industries - THEMATIC
Businesses,Businesses,hierarchy,parent=Economy & Labour - THEMATIC
Commercial businesses,Commercial businesses,hierarchy,parent=Businesses - THEMATIC
Labour relations,Labour relations,hierarchy,parent=Economy & Labour - THEMATIC
Strike,Strike,hierarchy,parent=Labour relations - THEMATIC
Unions,Unions,hierarchy,parent=Labour relations - THEMATIC
Workforce,Workforce,hierarchy,parent=Economy & Labour - THEMATIC
Miners,Miners,hierarchy,parent=Workforce - THEMATIC
Economic distress,Economic distress,hierarchy,parent=Economy & Labour - THEMATIC
Unemployment,Unemployment,hierarchy,parent=Economic distress - THEMATIC
Unemployment relief,Unemployment relief,hierarchy,parent=Economic distress - THEMATIC
Bankruptcy,Bankruptcy,hierarchy,parent=Economic distress - THEMATIC
Transport & Infrastructure,Transport & Infrastructure,hierarchy,parent=(thematic grouping)
Railway,Railway,hierarchy,parent=Transport & Infrastructure - THEMATIC
Roads,Roads,hierarchy,parent=Transport & Infrastructure - THEMATIC
Mining transport,Mining transport,hierarchy,parent=Transport & Infrastructure - THEMATIC
Tramway,Tramway,hierarchy,parent=Mining transport - THEMATIC
Commercial transport,Commercial transport,hierarchy,parent=Transport & Infrastructure - THEMATIC
Trucking,Trucking,hierarchy,parent=Commercial transport - THEMATIC
Utilities,Utilities,hierarchy,parent=Transport & Infrastructure - THEMATIC
Tourism & Accommodation,Tourism & Accommodation,hierarchy,parent=(thematic grouping)
Tourism activities,Tourism activities,hierarchy,parent=Tourism & Accommodation - THEMATIC
Tourism,Tourism,hierarchy,parent=Tourism activities - THEMATIC
Tourist trains,Tourist trains,hierarchy,parent=Tourism activities - THEMATIC
Accommodation,Accommodation,hierarchy,parent=Tourism & Accommodation - THEMATIC
Tourist attractions,Tourist attractions,hierarchy,parent=Tourism & Accommodation - THEMATIC
Waterfalls,Waterfalls,hierarchy,parent=Tourist attractions - THEMATIC
Jenolan Caves,Jenolan Caves,hierarchy,parent=Tourist attractions - THEMATIC
Natural features,Natural features,hierarchy,parent=Tourist attractions - THEMATIC
Politics & Governance,Politics & Governance,hierarchy,parent=(thematic grouping)
Government bodies,Government bodies,hierarchy,parent=Politics & Governance - THEMATIC
Political events,Political events,hierarchy,parent=Politics & Governance - THEMATIC
Public officials,Public officials,hierarchy,parent=Politics & Governance - THEMATIC
Military & War,Military & War,hierarchy,parent=(thematic grouping)
Military events,Military events,hierarchy,parent=Military & War - THEMATIC
World War I,World War I,hierarchy,parent=Military events - THEMATIC
Military personnel,Military personnel,hierarchy,parent=Military & War - THEMATIC
Military organizations,Military organizations,hierarchy,parent=Military & War - THEMATIC
Military,Military,hierarchy,parent=Military organizations - THEMATIC
Environment & Weather,Environment & Weather,hierarchy,parent=(thematic grouping)
Weather & climate,Weather & climate,hierarchy,parent=Environment & Weather - THEMATIC
Weather,Weather,hierarchy,parent=Weather & climate - THEMATIC
Natural features,Natural features,hierarchy,parent=Environment & Weather - THEMATIC
Animals,Animals,hierarchy,parent=Environment & Weather - THEMATIC
Natural resources,Natural resources,hierarchy,parent=Environment & Weather - THEMATIC
Coal,Coal,hierarchy,parent=Natural resources - THEMATIC
Shale mines,Shale mines,hierarchy,parent=Natural resources - THEMATIC
Communications & Postal Services,Communications & Postal Services,hierarchy,parent=(thematic grouping)
Postal services,Postal services,hierarchy,parent=Communications & Postal Services - THEMATIC
Post office,Post office,hierarchy,parent=Postal services - THEMATIC
Post,Post,hierarchy,parent=Postal services - THEMATIC
Advertising,Advertising,hierarchy,parent=Communications & Postal Services - THEMATIC
Information Forms,Information Forms,hierarchy,parent=Communications & Postal Services - THEMATIC
